,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Travel Sustainability,Description
484,Comfy home in the hub of the city,Brisbane,6.3,Review score ,3 reviews,2.2 km from centre,Not Travel Sustainable,"Set in Brisbane, 1.8 km from Roma Street Parklands and 2 km from Suncorp Stadium, Comfy home in the hub of the city offers air-conditioned accommodation with a patio and free WiFi. "
485,CBD Luxury River View 1Bed Apt The One,"Brisbane CBD, Brisbane",8.0,Very good ,3 reviews,150 m from centre,Travel Sustainable,"Situated in centre of Brisbane, CBD Luxury River View 1Bed Apt The One has accommodation with a fitness centre, city views, as well as a garden and a terrace. "
486,Family-Size Duplex in Quiet Neighbourhood,Brisbane,7.9,Good ,9 reviews,6.6 km from centre,Not Travel Sustainable,"Family-Size Duplex in Quiet Neighbourhood is set in Brisbane, 6.2 km from Brisbane Showgrounds, 7.7 km from Roma Street Parklands, as well as 7.7 km from New Farm Riverwalk. "
487,Classic Queenslander in amazing Brisbane location,Brisbane,9.7,Exceptional ,3 reviews,2.5 km from centre,Not Travel Sustainable,"Located in Brisbane, 2.6 km from Story Bridge, 2.8 km from Southbank Station and 3.1 km from South Bank Parklands, Classic Queenslander in amazing Brisbane location provides accommodation with a..."
488,The Indooroopilly Queenslander - 4 Bedroom Family Home - Private Pool - Wifi - Netflix,Brisbane,8.9,Fabulous ,7 reviews,5.5 km from centre,Not Travel Sustainable,"Located in Brisbane, 4.9 km from University of Queensland - St Lucia and 5.3 km from Suncorp Stadium, The Indooroopilly Queenslander - 4 Bedroom Family Home - Private Pool - Wifi - Netflix provides..."
489,Spacious and Superb 3-bed Apartment,Brisbane,8.0,Very good ,1 review,4.2 km from centre,Not Travel Sustainable,"Set in Brisbane, 6.8 km from Story Bridge and 7.9 km from New Farm Riverwalk, Spacious and Superb 3-bed Apartment offers air-conditioned accommodation with a patio and free WiFi. "
490,"Beautiful Unit with Gym, Pool and BBQ near Museums","South Brisbane, Brisbane",7.6,Good ,5 reviews,1.1 km from centre,Not Travel Sustainable,"Beautiful Unit with Gym, Pool and BBQ near Museums has a balcony and is situated in Brisbane, within just 300 metres of Brisbane Convention & Exhibition Centre and 700 metres of South Brisbane..."
491,River-View Unit with Rooftop Pool near Museums,"South Brisbane, Brisbane",7.0,Good ,8 reviews,0.7 km from centre,Not Travel Sustainable,"Set in Brisbane, 500 metres from South Brisbane Station, 600 metres from Brisbane Convention & Exhibition Centre and 1 km from South Bank Parklands, River-View Unit with Rooftop Pool near Museums..."
492,OXLEY Private Heated Mineral Pool & Private Home,Brisbane,10,Exceptional ,2 reviews,11.1 km from centre,Not Travel Sustainable,"Featuring pool views, OXLEY Private Heated Mineral Pool & Private Home offers accommodation with a balcony and a coffee machine, around 11 km from Boggo Road Gaol. "
493,Stunning 3BR Apartment with Brisbane City Views,"Fortitude Valley, Brisbane",6.6,Review score ,5 reviews,1.8 km from centre,Not Travel Sustainable,"Set in Brisbane, 800 metres from Brisbane Showgrounds, 1.1 km from New Farm Riverwalk and 1.6 km from Brisbane Central Station, Stunning 3BR Apartment with Brisbane City Views offers accommodation..."
494,LIMITLESS VIEWS FROM THE TOP// Right in the hills,"Bowen Hills, Brisbane",7.0,Good ,6 reviews,2.2 km from centre,Not Travel Sustainable,"LIMITLESS VIEWS FROM THE TOP// Right in the hills is a property with a private pool, set in Brisbane, within just 1.7 km of New Farm Riverwalk and 1.7 km of Story Bridge. "
495,INNER CITY ESCAPE / BOWEN HILL,"Bowen Hills, Brisbane",Nan,Nan,Nan,2.4 km from centre,Travel Sustainable,"Situated in Brisbane, 600 metres from Brisbane Showgrounds and 1.8 km from New Farm Riverwalk, INNER CITY ESCAPE / BOWEN HILL features accommodation with free WiFi, air conditioning, an outdoor..."
496,River-View Unit with Rooftop Pool near Museums,"South Brisbane, Brisbane",7.0,Good ,8 reviews,0.7 km from centre,Not Travel Sustainable,"Set in Brisbane, 500 metres from South Brisbane Station, 600 metres from Brisbane Convention & Exhibition Centre and 1 km from South Bank Parklands, River-View Unit with Rooftop Pool near Museums..."
497,OXLEY Private Heated Mineral Pool & Private Home,Brisbane,10,Exceptional ,2 reviews,11.1 km from centre,Not Travel Sustainable,"Featuring pool views, OXLEY Private Heated Mineral Pool & Private Home offers accommodation with a balcony and a coffee machine, around 11 km from Boggo Road Gaol. "
498,Stunning 3BR Apartment with Brisbane City Views,"Fortitude Valley, Brisbane",6.6,Review score ,5 reviews,1.8 km from centre,Not Travel Sustainable,"Set in Brisbane, 800 metres from Brisbane Showgrounds, 1.1 km from New Farm Riverwalk and 1.6 km from Brisbane Central Station, Stunning 3BR Apartment with Brisbane City Views offers accommodation..."
499,LIMITLESS VIEWS FROM THE TOP// Right in the hills,"Bowen Hills, Brisbane",7.0,Good ,6 reviews,2.2 km from centre,Not Travel Sustainable,"LIMITLESS VIEWS FROM THE TOP// Right in the hills is a property with a private pool, set in Brisbane, within just 1.7 km of New Farm Riverwalk and 1.7 km of Story Bridge. "
500,"Stellar location with parking, pool & gym access","South Brisbane, Brisbane",1.0,Review score ,1 review,1.1 km from centre,Not Travel Sustainable,"Situated in Brisbane, within 300 metres of Brisbane Convention & Exhibition Centre and 700 metres of South Brisbane Station, Stellar location with parking, pool & gym access offers accommodation with..."
501,Luxurious 3BDR Townhouse in Great Location,Brisbane,9.0,Superb ,2 reviews,5.7 km from centre,Not Travel Sustainable,"Set in Brisbane, 4.1 km from Brisbane Showgrounds, 5.6 km from Roma Street Parklands and 5.6 km from New Farm Riverwalk, Luxurious 3BDR Townhouse in Great Location offers accommodation with a patio..."
502,Central & Spacious New Farm Pad w/ great amenities,"New Farm, Brisbane",7.4,Good ,11 reviews,2.2 km from centre,Not Travel Sustainable,"Set in Brisbane, less than 1 km from New Farm Park and a 13-minute walk from New Farm Riverwalk, Central & Spacious New Farm Pad w/ great amenities provides accommodation with amenities such as free..."
503,"Sunny Home - near West End Cafe's, South Bank & City","West End, Brisbane",8.0,Very good ,1 review,1.9 km from centre,Not Travel Sustainable,"Sunny Home - near West End Cafe's, South Bank & City is set in Brisbane, 1.2 km from Brisbane Convention & Exhibition Centre, and offers a balcony, garden, and free WiFi. "
504,AirTrip Apartments on George Street,"Brisbane CBD, Brisbane",5.0,Review score ,17 reviews,400 m from centre,Not Travel Sustainable,"Boasting a sauna, AirTrip Apartments on George Street is set in the heart of Brisbane. This property offers a private pool and free private parking. "
505,The Hawthorne,Brisbane,6.2,Review score ,4 reviews,3.8 km from centre,Not Travel Sustainable,"Set in Brisbane, 4.5 km from The Gabba - Brisbane Cricket Ground and 4.9 km from Story Bridge, The Hawthorne offers accommodation with air conditioning and access to a garden. "
506,Lovely 2 Bedroom Terrace House in West End,"West End, Brisbane",8.5,Very good ,2 reviews,2 km from centre,Not Travel Sustainable,"Situated in Brisbane, 1.4 km from Brisbane Convention & Exhibition Centre and 1.6 km from Southbank Station, Lovely 2 Bedroom Terrace House in West End features air-conditioned accommodation with a..."
507,Fairfield Palace,Brisbane,9.7,Exceptional ,4 reviews,4 km from centre,Travel Sustainable,"Fairfield Palace, a property with an outdoor swimming pool and a terrace, is set in Brisbane, 1.4 km from Boggo Road Gaol, 3.6 km from Southbank Station, as well as 3.9 km from South Bank Parklands. "
508,"Comfortable & Cozy Southbank Pad, Sunny Pool & Gym","South Brisbane, Brisbane",6.1,Review score ,14 reviews,0.7 km from centre,Not Travel Sustainable,"Set in the South Brisbane district of Brisbane, Comfortable & Cozy Southbank Pad, Sunny Pool & Gym offers accommodation with a private pool and free WiFi. "
509,Tingalpa Townhouse Treat,Brisbane,8.8,Fabulous ,4 reviews,12.2 km from centre,Not Travel Sustainable,"Boasting garden views, Tingalpa Townhouse Treat offers accommodation with a patio and a kettle, around 14 km from The Gabba - Brisbane Cricket Ground. "
510,"2-Bed Inner-City Apartment With Parking, Balconies","Spring Hill, Brisbane",8.0,Very good ,1 review,1 km from centre,Not Travel Sustainable,"In the Spring Hill district of Brisbane, close to Roma Street Parklands, 2-Bed Inner-City Apartment With Parking, Balconies features free WiFi and a washing machine. "
511,Sunny poolside retreat in the heart of the Valley,"Fortitude Valley, Brisbane",5.1,Review score ,7 reviews,1.5 km from centre,Not Travel Sustainable,"Featuring an outdoor swimming pool, Sunny poolside retreat in the heart of the Valley is situated conveniently in Fortitude Valley district of Brisbane, 1.1 km from Brisbane Central Station and less..."
512,Mid-Century Morningside 2-Bed Apartment,Brisbane,Nan,Very good 8.0,5 external reviews,4.9 km from centre,Not Travel Sustainable,"Featuring air-conditioned accommodation with a patio, Mid-Century Morningside 2-Bed Apartment is set in Brisbane. This apartment is 7.2 km from New Farm Riverwalk and 7.3 km from South Bank Parklands...."
513,Highlife Luxury*Carpark*Wifi*Pool*Gym*Netflix,"Brisbane CBD, Brisbane",8.3,Very good ,12 reviews,0.7 km from centre,Not Travel Sustainable,"Conveniently located in the heart of Brisbane, Highlife Luxury*Carpark*Wifi*Pool*Gym*Netflix offers city views and a fitness centre, as well as barbecue facilities. "
514,Spacious apartment with generous entertaining,Brisbane,7.9,Good ,8 reviews,8 km from centre,Not Travel Sustainable,"Set in Brisbane, 8.8 km from Boggo Road Gaol, 10 km from University of Queensland - St Lucia and 10 km from The Gabba - Brisbane Cricket Ground, Spacious apartment with generous entertaining offers..."
515,Executive Apartment with Pool & Gym,"Bowen Hills, Brisbane",5.6,Review score ,7 reviews,2.4 km from centre,Not Travel Sustainable,"Executive Apartment with Pool & Gym is set in the Bowen Hills district of Brisbane, 2.2 km from Brisbane Central Station and 2.3 km from Roma Street Parklands. "
516,AirTrip Apartments on Merivale Street,"South Brisbane, Brisbane",6.4,Review score ,22 reviews,0.8 km from centre,Not Travel Sustainable,"Featuring a hot tub, AirTrip Apartments on Merivale Street is located in Brisbane. The 4-star apartment is 500 metres from Brisbane Convention & Exhibition Centre. "
517,Two-Bed with City Views and Parking Near Galleries,"South Brisbane, Brisbane",6.3,Review score ,10 reviews,0.7 km from centre,Not Travel Sustainable,"In the South Brisbane district of Brisbane, close to Queensland Performing Arts Complex (QPAC), Two-Bed with City Views and Parking Near Galleries features barbecue facilities and a washing machine. "
518,Inviting 1BR Unit in the Heart of Brisbane,"Bowen Hills, Brisbane",5.5,Review score ,2 reviews,2.4 km from centre,Not Travel Sustainable,"In the Bowen Hills district of Brisbane, close to Brisbane Showgrounds, Inviting 1BR Unit in the Heart of Brisbane has a fitness centre, free WiFi and a washing machine. "
519,KOZYGURU FORTITUDE VALLEY HIGH LEVEL 2 BED APT + FREE PARKING QFV179-2612,"Fortitude Valley, Brisbane",9.3,Superb ,3 reviews,1.7 km from centre,Not Travel Sustainable,"Situated in Brisbane, less than 1 km from Brisbane Showgrounds and a 11-minute walk from New Farm Riverwalk, KOZYGURU FORTITUDE VALLEY HIGH LEVEL 2 BED APT + FREE PARKING QFV179-2612 offers air..."
520,AirTrip Apartment on Manning Street,"South Brisbane, Brisbane",5.9,Review score ,8 reviews,1.1 km from centre,Not Travel Sustainable,"AirTrip Apartment on Manning Street is located in the South Brisbane district of Brisbane, 800 metres from Queensland Performing Arts Complex (QPAC), 800 metres from South Brisbane Station and 1.2 km..."
521,Charming 3-Bed House with Patio near Sport Stadium,Brisbane,5.8,Review score ,4 reviews,14.7 km from centre,Not Travel Sustainable,"Charming 3-Bed House with Patio near Sport Stadium is set in Brisbane, 4.5 km from Brisbane Entertainment Centre, 15 km from Brisbane Showgrounds, as well as 16 km from Roma Street Parklands. "
522,Spacious 1 Bedroom Apartment in Teneriffe Brisbane,"Teneriffe, Brisbane",10,Exceptional ,1 review,3.2 km from centre,Not Travel Sustainable,"Set in Brisbane, within 1.8 km of New Farm Riverwalk and 2.1 km of Brisbane Powerhouse, Spacious 1 Bedroom Apartment in Teneriffe Brisbane offers accommodation with free WiFi, air conditioning and a..."
523,Central Apartment with Spacious Living and Dining,"Brisbane CBD, Brisbane",6.7,Review score ,3 reviews,450 m from centre,Not Travel Sustainable,"Offering free WiFi, Central Apartment with Spacious Living and Dining is located in the centre of Brisbane within 600 metres of Brisbane Central Station and 200 metres from Queen Street Mall. "
524,Spacious 2-Bed Unit in Heart of South Brisbane,"South Brisbane, Brisbane",Nan,Nan,Nan,0.7 km from centre,Not Travel Sustainable,"Set in Brisbane, 400 metres from Queensland Performing Arts Complex (QPAC) and 400 metres from South Brisbane Station, Spacious 2-Bed Unit in Heart of South Brisbane offers air-conditioned..."
525,KOZYGURU FORTITUDE VALLEY HIGH LEVEL 2 BED APT + FREE PARKING QFV179-2612,"Fortitude Valley, Brisbane",9.3,Superb ,3 reviews,1.7 km from centre,Not Travel Sustainable,"Situated in Brisbane, less than 1 km from Brisbane Showgrounds and a 11-minute walk from New Farm Riverwalk, KOZYGURU FORTITUDE VALLEY HIGH LEVEL 2 BED APT + FREE PARKING QFV179-2612 offers air..."
526,AirTrip Apartment on Manning Street,"South Brisbane, Brisbane",5.9,Review score ,8 reviews,1.1 km from centre,Not Travel Sustainable,"AirTrip Apartment on Manning Street is located in the South Brisbane district of Brisbane, 800 metres from Queensland Performing Arts Complex (QPAC), 800 metres from South Brisbane Station and 1.2 km..."
527,Charming 3-Bed House with Patio near Sport Stadium,Brisbane,5.8,Review score ,4 reviews,14.7 km from centre,Not Travel Sustainable,"Charming 3-Bed House with Patio near Sport Stadium is set in Brisbane, 4.5 km from Brisbane Entertainment Centre, 15 km from Brisbane Showgrounds, as well as 16 km from Roma Street Parklands. "
528,The New Yorker - 2BR Unit in the Heart of Brisbane City,"Brisbane CBD, Brisbane",6.0,Review score ,5 reviews,1.1 km from centre,Not Travel Sustainable,"Set in the centre of Brisbane, 800 metres from Brisbane Central Station and 1.5 km from Roma Street Parklands, The New Yorker - 2BR Unit in the Heart of Brisbane City offers free WiFi. "
529,New Apartment close to Westfield and Hospital,"Chermside, Brisbane",Nan,Nan,Nan,9.2 km from centre,Not Travel Sustainable,"New Apartment close to Westfield and Hospital, a property with a garden, a terrace and barbecue facilities, is set in Brisbane, 9.4 km from Brisbane Entertainment Centre, 10 km from Roma Street..."
530,Central Apartment with Spacious Living and Dining,"Brisbane CBD, Brisbane",6.7,Review score ,3 reviews,450 m from centre,Not Travel Sustainable,"Offering free WiFi, Central Apartment with Spacious Living and Dining is located in the centre of Brisbane within 600 metres of Brisbane Central Station and 200 metres from Queen Street Mall. "
531,Spacious 2-Bed Unit in Heart of South Brisbane,"South Brisbane, Brisbane",Nan,Nan,Nan,0.7 km from centre,Not Travel Sustainable,"Set in Brisbane, 400 metres from Queensland Performing Arts Complex (QPAC) and 400 metres from South Brisbane Station, Spacious 2-Bed Unit in Heart of South Brisbane offers air-conditioned..."
532,Park Avenue Luxe 1 Bedroom 4km to City,"Auchenflower, Brisbane",7.8,Good ,4 reviews,3 km from centre,Not Travel Sustainable,"Park Avenue Luxe 1 Bedroom 4km to City, a property with a garden and a terrace, is located in Brisbane, 3.6 km from Brisbane Convention & Exhibition Centre, 3.9 km from Queensland Performing Arts..."
533,KOZYGURU FORTITUDE VALLEY DESIGNER GRADE 2 BED APT FREE PARKING QFV179-1401,"Fortitude Valley, Brisbane",8.6,Fabulous ,5 reviews,1.7 km from centre,Not Travel Sustainable,"KOZYGURU FORTITUDE VALLEY DESIGNER GRADE 2 BED APT FREE PARKING QFV179-1401 is situated in the Fortitude Valley district of Brisbane, less than 1 km from Brisbane Showgrounds, a 12-minute walk from..."
534,MadeComfy Modern Brisbane Inner City Apartment,"Teneriffe, Brisbane",7.5,Good ,4 reviews,3 km from centre,Not Travel Sustainable,"MadeComfy Modern Brisbane Inner City Apartment features a balcony and is located in Brisbane, within just 1.7 km of New Farm Riverwalk and 2 km of Brisbane Showgrounds. "
535,Stunning 2-Story Fortitude Valley Apartment,"Fortitude Valley, Brisbane",5.0,Review score ,1 review,1.6 km from centre,Not Travel Sustainable,"Featuring air-conditioned accommodation with a patio, Stunning 2-Story Fortitude Valley Apartment is located in Brisbane. "
536,"Picturesque City Living, Moments From Everything","Spring Hill, Brisbane",4.3,Review score ,3 reviews,0.8 km from centre,Not Travel Sustainable,"Located in Brisbane, less than 1 km from Roma Street Parklands and a 7-minute walk from Brisbane Central Station, Picturesque City Living, Moments From Everything provides accommodation with amenities..."
537,Oxford Steps - Executive 2BR Bulimba Apartment Across from the Park on Oxford St,Brisbane,8.4,Very good ,5 reviews,4 km from centre,Not Travel Sustainable,"Situated in Brisbane, 6.9 km from Story Bridge, 8 km from New Farm Riverwalk and 8.5 km from Brisbane Central Station, Oxford Steps - Executive 2BR Bulimba Apartment Across from the Park on Oxford St..."
538,Heart of City with Pool and Spectacular River Views,"Brisbane CBD, Brisbane",Nan,Nan,Nan,0.8 km from centre,Travel Sustainable,"Located in Brisbane, Heart of City with Pool and Spectacular River Views offers a balcony with river and garden views, as well as a year-round outdoor pool, fitness centre and sauna. "
539,Back of the Block Bulimba - Executive 3BR Bulimba apartment with leafy outlook,Brisbane,9.3,Superb ,3 reviews,4.4 km from centre,Not Travel Sustainable,"Back of the Block Bulimba - Executive 3BR Bulimba apartment with leafy outlook, a property with a terrace and barbecue facilities, is set in Brisbane, 6.2 km from Story Bridge, 7.3 km from New Farm..."
540,Cosy 2-Bed Unit with Sleek Interiors,"Windsor, Brisbane",Nan,Nan,Nan,3.9 km from centre,Not Travel Sustainable,"Located in Brisbane, 2.5 km from Brisbane Showgrounds and 3.8 km from New Farm Riverwalk, Cosy 2-Bed Unit with Sleek Interiors provides accommodation with amenities such as free WiFi and a TV. "
541,2 Bedroom St Lucia Apartment close to UQ and CityCat,Brisbane,7.8,Good ,7 reviews,3.5 km from centre,Not Travel Sustainable,"Located in Brisbane, 1.5 km from University of Queensland - St Lucia and 4.5 km from Suncorp Stadium, 2 Bedroom St Lucia Apartment close to UQ and CityCat provides air-conditioned accommodation with a..."
542,AirTrip Apartments on Doggett Street,"Newstead, Brisbane",5.6,Review score ,16 reviews,2.9 km from centre,Not Travel Sustainable,"AirTrip Apartments on Doggett Street has a balcony and is situated in Brisbane, within just 1.7 km of Brisbane Showgrounds and 1.6 km of New Farm Riverwalk. "
543,Two-Bed with City Views and Parking Near Galleries,"South Brisbane, Brisbane",6.3,Review score ,10 reviews,0.7 km from centre,Not Travel Sustainable,"In the South Brisbane district of Brisbane, close to Queensland Performing Arts Complex (QPAC), Two-Bed with City Views and Parking Near Galleries features barbecue facilities and a washing machine. "
544,Chic Inner City Position 2 bedroom apartment with Parking By Serain Residences,"Newstead, Brisbane",6.6,Review score ,9 reviews,2.9 km from centre,Not Travel Sustainable,"In the Newstead district of Brisbane, close to New Farm Riverwalk, Chic Inner City Position 2 bedroom apartment with Parking By Serain Residences has free WiFi and a washing machine. "
545,Generous 3-Bed Family Home with Alfresco Dining,Brisbane,8.5,Very good ,2 reviews,3.9 km from centre,Not Travel Sustainable,"Set in Brisbane, 4 km from Brisbane Showgrounds and 4 km from Suncorp Stadium, Generous 3-Bed Family Home with Alfresco Dining offers air-conditioned accommodation with a patio and free WiFi. "
546,Holiday House,Brisbane,9.6,Exceptional ,18 reviews,16.7 km from centre,Not Travel Sustainable,"Set in Brisbane, 19 km from The Gabba - Brisbane Cricket Ground and 20 km from Story Bridge, Holiday House offers accommodation with free WiFi, air conditioning, free bikes and a garden. "
547,Miss Midgley's - Refectory,"New Farm, Brisbane",9.7,Exceptional ,3 reviews,2.4 km from centre,Not Travel Sustainable,"Set in Brisbane, 1.1 km from New Farm Riverwalk and 1.6 km from Brisbane Powerhouse, Miss Midgley's - Refectory provides accommodation with amenities such as free WiFi and a TV. "
548,Mid-Century Morningside 2-Bed Apartment,Brisbane,Nan,Very good 8.0,5 external reviews,4.9 km from centre,Not Travel Sustainable,"Featuring air-conditioned accommodation with a patio, Mid-Century Morningside 2-Bed Apartment is set in Brisbane. This apartment is 7.2 km from New Farm Riverwalk and 7.3 km from South Bank Parklands...."
549,Cosy Unit with Parking near New Farm Park & River,"New Farm, Brisbane",5.0,Review score ,1 review,2.1 km from centre,Not Travel Sustainable,"Cosy Unit with Parking near New Farm Park & River features a balcony and is located in Brisbane, within just 1.5 km of New Farm Riverwalk and 1.5 km of Brisbane Powerhouse. "
550,CBD Luxury River View 1Bed Apt The One,"Brisbane CBD, Brisbane",8.0,Very good ,3 reviews,150 m from centre,Travel Sustainable,"Situated in centre of Brisbane, CBD Luxury River View 1Bed Apt The One has accommodation with a fitness centre, city views, as well as a garden and a terrace. "
551,THE HAMILTON (I715)-L'Abode Accommodation,"Hamilton, Brisbane",7.6,Good ,8 reviews,4.1 km from centre,Travel Sustainable,"Featuring city views, THE HAMILTON (I715)-L'Abode Accommodation offers accommodation with an outdoor swimming pool and a balcony, around 2.8 km from Brisbane Showgrounds. "
552,Stylish 3BD Family Home in Leafy Paddington!,"Paddington, Brisbane",7.8,Good ,6 reviews,2 km from centre,Not Travel Sustainable,"Set in Brisbane, 800 metres from Suncorp Stadium and 2.5 km from Roma Street Station, Stylish 3BD Family Home in Leafy Paddington! offers air-conditioned accommodation with a balcony and free WiFi. "
553,Home on a Hill - 1 Bedroom Apartment,Brisbane,Nan,Nan,Nan,1.6 km from centre,Not Travel Sustainable,"Boasting air-conditioned accommodation with a balcony, Home on a Hill - 1 Bedroom Apartment is situated in Brisbane. Guests staying at this apartment have access to a patio. "
554,Sky View Appartment CBD,"Brisbane CBD, Brisbane",Nan,Nan,Nan,0.7 km from centre,Not Travel Sustainable,"Sky View Appartment CBD is a property with a private pool, set in Brisbane, within just 600 metres of Queen Street Mall and 600 metres of City Botanical Gardens. "
555,1BR and Study Oasis in Beautiful Bulimba,Brisbane,Nan,Nan,Nan,3.8 km from centre,Not Travel Sustainable,"Located in Brisbane, 7.2 km from Story Bridge, 8.3 km from New Farm Riverwalk and 8.8 km from Brisbane Central Station, 1BR and Study Oasis in Beautiful Bulimba provides accommodation with a patio and..."
556,Freshwater Apartments New Farm,"New Farm, Brisbane",9.5,Exceptional ,2 reviews,2.9 km from centre,Travel Sustainable,"Featuring river views, Freshwater Apartments New Farm features accommodation with a balcony and a kettle, around 800 metres from Brisbane Powerhouse. "
557,Spaciously Eclectic 2-Bed Townhouse,Brisbane,Nan,Nan,Nan,4.4 km from centre,Not Travel Sustainable,"Situated in Brisbane, 5.8 km from The Gabba - Brisbane Cricket Ground and 6.2 km from Story Bridge, Spaciously Eclectic 2-Bed Townhouse features air-conditioned accommodation with a patio and free..."
558,Entire 4BR House in Tingalpa,Brisbane,Nan,Nan,Nan,9.7 km from centre,Not Travel Sustainable,"Situated 11 km from Story Bridge, 12 km from New Farm Riverwalk and 12 km from Boggo Road Gaol, Entire 4BR House in Tingalpa features accommodation located in Brisbane. "
559,Spacious 2-Bed Apartment near City Centre,Brisbane,Nan,Nan,Nan,2.3 km from centre,Not Travel Sustainable,"Situated in Brisbane, 1.5 km from Brisbane Showgrounds, 2.7 km from New Farm Riverwalk and 2.8 km from Roma Street Parklands, Spacious 2-Bed Apartment near City Centre features accommodation with a..."
560,"Stylish Valley Unit with Terrace, Parking and Pool","Fortitude Valley, Brisbane",5.8,Review score ,9 reviews,2 km from centre,Not Travel Sustainable,"Stylish Valley Unit with Terrace, Parking and Pool is set in the Fortitude Valley district of Brisbane, 700 metres from New Farm Riverwalk, 1.6 km from Brisbane Showgrounds and 1.9 km from Brisbane..."
561,Charming 2-Bed Apartment with City Views,"New Farm, Brisbane",Nan,Nan,Nan,1.9 km from centre,Not Travel Sustainable,"Featuring air-conditioned accommodation with a patio, Charming 2-Bed Apartment with City Views is located in Brisbane. "
562,5BDR Ultimate Family Retreat Pool Toys Galore,Brisbane,Nan,Nan,Nan,6.8 km from centre,Not Travel Sustainable,"Located in Brisbane, 5BDR Ultimate Family Retreat Pool Toys Galore provides a private pool and free WiFi. Guests benefit from a patio and an outdoor pool. "
563,Kelvin Grove Apartments,Brisbane,8.5,Very good ,6 reviews,1.9 km from centre,Not Travel Sustainable,"Located in Brisbane in the Queensland region, with Roma Street Parklands and Suncorp Stadium nearby, Kelvin Grove Apartments provides accommodation with free WiFi and free private parking. "
564,Park Avenue Terrace 1 Just 4km CBD,"Auchenflower, Brisbane",Nan,Nan,Nan,3 km from centre,Not Travel Sustainable,"Park Avenue Terrace 1 Just 4km CBD, a property with a garden and barbecue facilities, is set in Brisbane, 3.6 km from Brisbane Convention & Exhibition Centre, 3.9 km from Queensland Performing Arts..."
565,Comfy 2-Bedroom Family Apartment with Free Parking,"Kangaroo Point, Brisbane",Nan,Nan,Nan,2.2 km from centre,Not Travel Sustainable,"Located in Brisbane, 2.1 km from Story Bridge and less than 1 km from The Gabba - Brisbane Cricket Ground, Comfy 2-Bedroom Family Apartment with Free Parking provides air-conditioned accommodation..."
566,Amazing river view at Brisbane CBD,"Brisbane CBD, Brisbane",Nan,Nan,Nan,0.7 km from centre,Not Travel Sustainable,"Located in a central area of Brisbane, less than 1 km from Brisbane Central Station, Amazing river view at Brisbane CBD provides air-conditioned accommodation with free WiFi and a flat-screen TV. "
567,"Spacious 1 bedroom apartment with pool, gym, views","Kangaroo Point, Brisbane",Nan,Nan,Nan,1.5 km from centre,Travel Sustainable,"Set in Brisbane, Spacious 1 bedroom apartment with pool, gym, views offers a terrace with city and pool views, as well as a year-round outdoor pool, fitness centre and sauna. "
568,River View /the Heart of Brisbane,"Brisbane CBD, Brisbane",Nan,Nan,Nan,0.7 km from centre,Not Travel Sustainable,"Situated right in the heart of Brisbane, River View /the Heart of Brisbane features a private pool and free WiFi. This apartment is 1.5 km from Roma Street Station and 1.9 km from Southbank Station. "
569,Cosy 1-Bed Apartment with City Views and Pool,"Fortitude Valley, Brisbane",Nan,Exceptional 10,5 external reviews,2.5 km from centre,Not Travel Sustainable,"In the Fortitude Valley district of Brisbane, close to Brisbane Showgrounds, Cosy 1-Bed Apartment with City Views and Pool features a fitness centre, free WiFi and a washing machine. "
570,The Indooroopilly Queenslander - 4 Bedroom Family Home - Private Pool - Wifi - Netflix,Brisbane,8.9,Fabulous ,7 reviews,5.5 km from centre,Not Travel Sustainable,"Located in Brisbane, 4.9 km from University of Queensland - St Lucia and 5.3 km from Suncorp Stadium, The Indooroopilly Queenslander - 4 Bedroom Family Home - Private Pool - Wifi - Netflix provides..."
571,"Stunning Escape, SOUTH BRISBANE","South Brisbane, Brisbane",6.2,Review score ,11 reviews,0.7 km from centre,Travel Sustainable,"Stunning Escape, SOUTH BRISBANE is a property with a private pool, situated in Brisbane, within just 600 metres of South Brisbane Station and 800 metres of Brisbane Convention & Exhibition Centre. "
572,"Manly Oasis, 5bd, 3 King bd,Pool",Brisbane,6.0,Review score ,1 review,16.2 km from centre,Not Travel Sustainable,"Located in Brisbane, just 18 km from The Gabba - Brisbane Cricket Ground, Manly Oasis, 5bd, 3 King bd, Pool provides accommodation with an outdoor swimming pool, a terrace and free WiFi. "
573,The New Yorker - 2BR Unit in the Heart of Brisbane City,"Brisbane CBD, Brisbane",6.0,Review score ,5 reviews,1.1 km from centre,Not Travel Sustainable,"Set in the centre of Brisbane, 800 metres from Brisbane Central Station and 1.5 km from Roma Street Parklands, The New Yorker - 2BR Unit in the Heart of Brisbane City offers free WiFi. "
574,Heart of the City Apartment With Pool & Gym Access,"Fortitude Valley, Brisbane",9.5,Exceptional ,2 reviews,2.4 km from centre,Not Travel Sustainable,"In the Fortitude Valley district of Brisbane, close to Brisbane Showgrounds, Heart of the City Apartment With Pool & Gym Access has a fitness centre, free WiFi and a washing machine. "
575,Cosy 1-Bed Apartment with City Views and Pool,"Fortitude Valley, Brisbane",Nan,Exceptional 10,5 external reviews,2.5 km from centre,Not Travel Sustainable,"In the Fortitude Valley district of Brisbane, close to Brisbane Showgrounds, Cosy 1-Bed Apartment with City Views and Pool features a fitness centre, free WiFi and a washing machine. "
